id,slug,name,matchedName,imageUrl,rejectionReason
3,"glute-bridge","Glute Bridge","Thoracic Bridge","https://cdn.exercisedb.dev/w/images/ALLlKpv/41n2hLUqpev5gSzJ__Thoracic-Bridge_Stretching.png","Glute Bridge matched to Thoracic Bridge"
4,"single-leg-glute-bridge","Single-Leg Glute Bridge","Bodyweight Single Leg Deadlift","https://cdn.exercisedb.dev/w/images/rLX5AMD/41n2hrHSqBnVWRRB__Bodyweight-Single-Leg-Deadlift_Thighs_720.png","Single-Leg Glute Bridge matched to Single Leg Deadlift"
19,"side-plank","Side Plank","Side Lunge","https://cdn.exercisedb.dev/w/images/LPzfTTJ/41n2haAabPyN5t8y__Side-Lunge_Thighs.png","Side Plank matched to Side Lunge"
21,"bird-dog","Bird Dog","Downward Facing Dog","https://cdn.exercisedb.dev/w/images/4UQmjHP/41n2hW9gDXAJJMmH__Downward-Facing-Dog_Stretching.png","Bird Dog matched to Downward Facing Dog"
23,"bicycle-crunch","Bicycle Crunch","Crunch Floor","https://cdn.exercisedb.dev/w/images/SYasbO5/41n2hskeb9dXgBoC__Crunch-Floor-m_waist.png","Bicycle Crunch matched to Crunch Floor"
25,"dumbbell-rdl","Dumbbell Romanian Deadlift (RDL)","Dumbbell burpee","https://cdn.exercisedb.dev/w/images/9W5kw6w/41n2hTaeNKWhMQHH__Dumbbell-burpee_Cardio.png","Dumbbell RDL matched to Dumbbell Burpee"
29,"dumbbell-single-leg-rdl","Dumbbell Single-Leg RDL","Dumbbell Single Leg Calf Raise","https://cdn.exercisedb.dev/w/images/M7P04gJ/41n2hbLX4XH8xgN7__Dumbbell-Single-Leg-Calf-Raise_Calves.png","Dumbbell Single-Leg RDL matched to Calf Raise"
37,"dumbbell-bicep-curl","Dumbbell Bicep Curl","Dumbbell Jumping Squat","https://cdn.exercisedb.dev/w/images/Yq62mdx/41n2huf7mAC2rhfC__Dumbbell-Jumping-Squat_Plyometric.png","Dumbbell Bicep Curl matched to Jumping Squat"
39,"dumbbell-overhead-tricep-extension","Dumbbell Overhead Tricep Extension","Cable Seated Neck Extension ","https://cdn.exercisedb.dev/w/images/WoXh4BR/41n2hn2kPMag9WCf__Cable-Seated-Neck-Extension-(with-head-harness)_Neck.png","Overhead Tricep Extension matched to Neck Extension"
40,"barbell-back-squat","Barbell Back Squat","Dumbbell Jumping Squat","https://cdn.exercisedb.dev/w/images/Yq62mdx/41n2huf7mAC2rhfC__Dumbbell-Jumping-Squat_Plyometric.png","Barbell Back Squat matched to Dumbbell Jumping Squat"
45,"barbell-overhead-press","Barbell Overhead Press","Bench Press","https://cdn.exercisedb.dev/w/images/boDyoVc/41n2hxnFMotsXTj3__Barbell-Bench-Press_Chest.png","Barbell Overhead Press matched to Bench Press"
47,"barbell-bicep-curl","Barbell Bicep Curl","Hammer Curl","https://cdn.exercisedb.dev/w/images/vvtrwNo/41n2hGioS8HumEF7__Cable-Hammer-Curl-(with-rope)-m_Forearms.png","Barbell Bicep Curl matched to Hammer Curl"
49,"band-glute-bridge","Band Glute Bridge","Thoracic Bridge","https://cdn.exercisedb.dev/w/images/ALLlKpv/41n2hLUqpev5gSzJ__Thoracic-Bridge_Stretching.png","Band Glute Bridge matched to Thoracic Bridge"
50,"band-lateral-walk","Band Lateral Walk","Lateral Raise","https://cdn.exercisedb.dev/w/images/wINC5NY/41n2hjuGpcex14w7__Dumbbell-Lateral-Raise_shoulder.png","Band Lateral Walk matched to Lateral Raise"
52,"band-pull-apart","Band Pull-Apart","Pull up","https://cdn.exercisedb.dev/w/images/3XMA2St/41n2hU4y6EaYXFhr__Pull-up-(neutral-grip)_Back.png","Band Pull-Apart matched to Pull-up"
55,"walking","Walking","Walking Lunge","https://cdn.exercisedb.dev/w/images/vxsAnsy/41n2hQHmRSoUkk9F__Walking-Lunge-Male_Hips.png","Walking matched to Walking Lunge"
61,"childs-pose","Child's Pose","Butterfly Yoga Pose","https://cdn.exercisedb.dev/w/images/zg5sZ1f/41n2hnougzKKhhqu__Butterfly-Yoga-Pose_Thighs.png","Child's Pose matched to Butterfly Yoga Pose"
62,"hip-flexor-stretch","Hip Flexor Stretch","Elbow Flexor Stretch","https://cdn.exercisedb.dev/w/images/hveLqiL/41n2hqw5LsDpeE2i__Elbow-Flexor-Stretch_Upper-Arms.png","Hip Flexor Stretch matched to Elbow Flexor Stretch"
64,"doorway-chest-stretch","Doorway Chest Stretch","Peroneals Stretch ","https://cdn.exercisedb.dev/w/images/1WKr2aI/41n2hbYPY4jLKxW3__Peroneals-Stretch-(female)_Calves.png","Doorway Chest Stretch matched to Peroneals Stretch"
65,"90-90-hip-stretch","90/90 Hip Stretch","Back Pec Stretch","https://cdn.exercisedb.dev/w/images/kZDPjTN/41n2hQeNyCnt3uFh__Back-Pec-Stretch_Back.png","90/90 Hip Stretch matched to Back Pec Stretch"
66,"thoracic-spine-rotation","Thoracic Spine Rotation","Thoracic Bridge","https://cdn.exercisedb.dev/w/images/ALLlKpv/41n2hLUqpev5gSzJ__Thoracic-Bridge_Stretching.png","Thoracic Spine Rotation matched to Thoracic Bridge"
68,"donkey-kick","Donkey Kick","Donkey Calf Raise","https://cdn.exercisedb.dev/w/images/VzOz3fj/41n2hWbP5uF6PQpU__Donkey-Calf-Raise_Calves.png","Donkey Kick matched to Donkey Calf Raise"
70,"scapular-push-up","Scapular Push-Up","Clap Push Up","https://cdn.exercisedb.dev/w/images/WuZAdSm/41n2hkmMrSwcHkZ8__Clap-Push-Up_Plyometrics_Chest.png","Scapular Push-Up matched to Clap Push Up"
79,"kettlebell-turkish-get-up","Kettlebell Turkish Get-Up","Diamond Push up ","https://cdn.exercisedb.dev/w/images/ogjysnJ/41n2hnbt5GwwY7gr__Diamond-Push-up-(female)_Upper-Arms.png","Kettlebell Turkish Get-Up matched to Diamond Push up"
81,"kettlebell-press","Kettlebell Press","Triceps Press ","https://cdn.exercisedb.dev/w/images/dK1H4xO/41n2hLA8xydD4dzE__Triceps-Press-(Head-Below-Bench)_Upper-Arms.png","Kettlebell Press matched to Triceps Press"
82,"kettlebell-row","Kettlebell Row","Suspended Row","https://cdn.exercisedb.dev/w/images/moTFBCp/41n2hdkBpqwoDmVq__Suspended-Row_back.png","Kettlebell Row matched to Suspended Row"
93,"hollow-body-hold","Hollow Body Hold","Lying Leg Raise and Hold","https://cdn.exercisedb.dev/w/images/sdRoqxz/41n2hq3Wm6ANkgUz__Lying-Leg-Raise-and-Hold_Hips.png","Hollow Body Hold matched to Lying Leg Raise"
97,"bridge-march","Bridge March","Thoracic Bridge","https://cdn.exercisedb.dev/w/images/ALLlKpv/41n2hLUqpev5gSzJ__Thoracic-Bridge_Stretching.png","Bridge March matched to Thoracic Bridge"
98,"dumbbell-chest-fly","Dumbbell Chest Fly","Dumbbell Rear Delt Fly ","https://cdn.exercisedb.dev/w/images/xneLPAv/41n2hyNf5GebszTf__Dumbbell-Rear-Delt-Fly-(female)_Shoulders.png","Dumbbell Chest Fly matched to Rear Delt Fly"
103,"dumbbell-tricep-kickback","Dumbbell Tricep Kickback","Dumbbell Jumping Squat","https://cdn.exercisedb.dev/w/images/Yq62mdx/41n2huf7mAC2rhfC__Dumbbell-Jumping-Squat_Plyometric.png","Dumbbell Tricep Kickback matched to Jumping Squat"
105,"dumbbell-hip-thrust","Dumbbell Hip Thrust","Dumbbell Jumping Squat","https://cdn.exercisedb.dev/w/images/Yq62mdx/41n2huf7mAC2rhfC__Dumbbell-Jumping-Squat_Plyometric.png","Dumbbell Hip Thrust matched to Jumping Squat"
107,"dumbbell-floor-press","Dumbbell Floor Press","Dumbbell Clean and Press","https://cdn.exercisedb.dev/w/images/XwJ4aFB/41n2hXfpvSshoXWG__Dumbbell-Clean-and-Press_Weightlifting_720.png","Dumbbell Floor Press matched to Clean and Press"
117,"barbell-landmine-press","Barbell Landmine Press","Bench Press","https://cdn.exercisedb.dev/w/images/boDyoVc/41n2hxnFMotsXTj3__Barbell-Bench-Press_Chest.png","Barbell Landmine Press matched to Bench Press"
118,"band-squat-with-abduction","Band Squat with Abduction","Single Leg Squat with Support","https://cdn.exercisedb.dev/w/images/1L0ZTtF/41n2hsSnmS946i2k__Single-Leg-Squat-with-Support-(pistol)_Thighs.png","Band Squat with Abduction matched to Single Leg Squat"
122,"band-face-pull","Band Face Pull","Pull up","https://cdn.exercisedb.dev/w/images/3XMA2St/41n2hU4y6EaYXFhr__Pull-up-(neutral-grip)_Back.png","Band Face Pull matched to Pull-up"
124,"band-upright-row","Band Upright Row","Suspended Row","https://cdn.exercisedb.dev/w/images/moTFBCp/41n2hdkBpqwoDmVq__Suspended-Row_back.png","Band Upright Row matched to Suspended Row"
127,"band-leg-press","Band Leg Press","Diamond Press","https://cdn.exercisedb.dev/w/images/ocXAZeF/41n2hdCBvmbCPaVE__Diamond-Press_Back.png","Band Leg Press matched to Diamond Press"
132,"rowing-machine","Rowing Machine","Elliptical Machine Walk ","https://cdn.exercisedb.dev/w/images/oo21uwA/41n2hpTMDhTxYkvi__Elliptical-Machine-Walk-(female)_Cardio.png","Rowing Machine matched to Elliptical Machine"
136,"sled-push","Sled Push","Clap Push Up","https://cdn.exercisedb.dev/w/images/WuZAdSm/41n2hkmMrSwcHkZ8__Clap-Push-Up_Plyometrics_Chest.png","Sled Push matched to Clap Push Up"